Name,Protein name,Orientation,Length
Q99705,Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (SLC-1) (Somatostatin receptor-like protein),o110-135i149-169o187-208i229-249o275-298i326-346o364-383i,422
Q99788,Chemerin-like receptor 1 (Chemokine-like receptor 1) (G-protein coupled receptor ChemR23) (G-protein coupled receptor DEZ),o41-64i76-97o114-135i155-176o225-245i261-282o299-319i,373
Q99835,Protein smoothened (Protein Gx),o232-254i265-285o313-337i359-378o399-424i447-471o519-538i,787
Q9BPV8,P2Y purinoceptor 13 (P2Y13) (G-protein coupled receptor 86) (G-protein coupled receptor 94),o47-68i79-101o118-139i161-182o208-232i257-278o298-320i,354
Q9BRV3,Sugar transporter SWEET1 (HsSWEET1) (RAG1-activating protein 1) (Solute carrier family 50 member 1) (Stromal cell protein),o10-30i42-63o68-88i97-117o129-149i160-180o186-206i,221
Q9BW60,Elongation of very long chain fatty acids protein 1 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL1) (ELOVL fatty acid elongase 1) (ELOVL FA elongase 1) (Very long chain 3-ketoacyl-CoA synthase 1) (Very long chain 3-oxoacyl-CoA synthase 1),o25-45i60-81o110-130i139-156o165-187i200-222o232-252i,279
Q9BWQ8,Protein lifeguard 2 (Fas apoptotic inhibitory molecule 2) (Neural membrane protein 35) (Transmembrane BAX inhibitor motif-containing protein 2),i106-126o139-156i167-187o196-214i225-245o252-271i290-310o,316
Q9BXA5,Succinate receptor 1 (G-protein coupled receptor 91) (P2Y purinoceptor 1-like),o28-50i60-80o98-118i138-161o185-208i233-251o278-298i,334
Q9BXB1,Leucine-rich repeat-containing G-protein coupled receptor 4 (G-protein coupled receptor 48),o543-563i575-600o620-641i664-682o704-726i749-769o784-804i,951
Q9BXC0,Hydroxycarboxylic acid receptor 1 (G-protein coupled receptor 104) (G-protein coupled receptor 81),o17-42i52-72o90-111i132-152o176-197i221-245o259-281i,346
Q9BY15,Adhesion G protein-coupled receptor E3 (EGF-like module receptor 3) (EGF-like module-containing mucin-like hormone receptor-like 3),o361-381i391-410o419-439i466-484o508-528i550-570o578-601i,652
Q9BZJ7,G-protein coupled receptor 62 (G-protein coupled receptor GPCR8) (hGPCR8) (G-protein coupled receptor KPG_005),o18-38i49-69o90-111i130-150o174-193i245-262o274-293i,368
Q9BZJ8,G-protein coupled receptor 61 (Biogenic amine receptor-like G-protein coupled receptor),o44-67i77-99o117-138i159-179o207-229i288-308o324-344i,451
Q9GZQ4,Neuromedin-U receptor 2 (NMU-R2) (G-protein coupled receptor FM-4) (G-protein coupled receptor TGR-1),o46-70i84-104o121-142i164-184o215-237i269-290o304-327i,415
Q9GZQ6,Neuropeptide FF receptor 1 (G-protein coupled receptor 147) (RFamide-related peptide receptor OT7T022),o43-68i80-102o119-139i158-178o215-237i271-291o310-331i,430
Q9GZR5,Elongation of very long chain fatty acids protein 4 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL4) (ELOVL fatty acid elongase 4) (ELOVL FA elongase 4) (Very long chain 3-ketoacyl-CoA synthase 4) (Very long chain 3-oxoacyl-CoA synthase 4),o40-63i77-98o124-144i156-173o181-201i217-237o246-267i,314
Q9H1Y3,Opsin-3 (Encephalopsin) (Panopsin),o44-64i78-100o115-135i157-176o203-223i256-276o290-312i,402
Q9H228,Sphingosine 1-phosphate receptor 5 (S1P receptor 5) (S1P5) (Endothelial differentiation G-protein-coupled receptor 8) (Sphingosine 1-phosphate receptor Edg-8) (S1P receptor Edg-8),o40-61i73-95o109-131i152-173o192-213i253-273o288-308i,398
Q9H244,P2Y purinoceptor 12 (P2Y12) (ADP-glucose receptor) (ADPG-R) (P2T(AC)) (P2Y(AC)) (P2Y(cyc)) (P2Y12 platelet ADP receptor) (P2Y(ADP)) (SP1999),o28-49i60-82o99-120i142-163o189-210i238-259o280-301i,342
Q9H255,Olfactory receptor 51E2 (HPRAJ) (Olfactory receptor OR11-16) (Prostate-specific G-protein coupled receptor),o24-48i58-82o97-119i143-162o195-221i240-260o273-293i,320
Q9H3N8,Histamine H4 receptor (H4R) (HH4R) (AXOR35) (G-protein coupled receptor 105) (GPRv53) (Pfi-013) (SP9144),o16-40i52-73o88-108i132-153o173-195i305-325o342-361i,390
Q9H461,Frizzled-8 (Fz-8) (hFz8),o278-301i312-332o397-419i440-462o483-505i529-552o584-605i,694
Q9H5J4,Elongation of very long chain fatty acids protein 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL6) (ELOVL fatty acid elongase 6) (ELOVL FA elongase 6) (Fatty acid elongase 2) (hELO2) (Fatty acyl-CoA elongase) (Long-chain fatty-acyl elongase) (Very long chain 3-ketoacyl-CoA synthase 6) (Very long chain 3-oxoacyl-CoA synthase 6),o27-47i62-89o111-129i140-155o163-183i194-217o232-251i,265
Q9H8P0,Polyprenol reductase (EC 1.3.1.94) (3-oxo-5-alpha-steroid 4-dehydrogenase 3) (EC 1.3.1.22) (Steroid 5-alpha-reductase 2-like) (Steroid 5-alpha-reductase 3) (S5AR 3) (SR type 3),o15-35i76-98o125-149i157-178o201-217i257-272o275-295i,318
Q9HA82,Ceramide synthase 4 (CerS4) (EC 2.3.1.-) (LAG1 longevity assurance homolog 4) (Sphingosine N-acyltransferase CERS4) (EC 2.3.1.24),o39-61i135-155o179-199i208-223o229-249i260-285o304-324i,394
Q9HAR2,Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3),o869-889i898-918o927-947i969-989o1008-1028i1053-1073o1080-1100i,1447
Q9HB03,Elongation of very long chain fatty acids protein 3 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL3) (Cold-inducible glycoprotein of 30 kDa) (ELOVL fatty acid elongase 3) (ELOVL FA elongase 3) (Very long chain 3-ketoacyl-CoA synthase 3) (Very long chain 3-oxoacyl-CoA synthase 3),o33-51i65-89o115-129i146-159o167-187i201-222o235-255i,270
Q9HB89,Neuromedin-U receptor 1 (NMU-R1) (G-protein coupled receptor 66) (G-protein coupled receptor FM-3),o60-85i97-118o136-157i178-199o230-256i298-323o337-359i,426
Q9HBW0,Lysophosphatidic acid receptor 2 (LPA receptor 2) (LPA-2) (Lysophosphatidic acid receptor Edg-4),o30-54i67-87o106-124i144-164o187-206i240-260o276-292i,348
Q9HBW9,"Adhesion G protein-coupled receptor L4 (EGF, latrophilin and seven transmembrane domain-containing protein 1) (EGF-TM7-latrophilin-related protein) (ETL protein)",o433-453i475-495o500-520i533-553o574-594i619-639o647-667i,690
Q9HBX8,Leucine-rich repeat-containing G-protein coupled receptor 6,o566-587i599-621o644-665i686-706o732-752i775-798o810-830i,967
Q9HBX9,Relaxin receptor 1 (Leucine-rich repeat-containing G-protein coupled receptor 7) (Relaxin family peptide receptor 1),o410-429i442-463o487-508i528-548o578-600i630-650o661-683i,757
Q9HC24,Protein lifeguard 4 (Golgi anti-apoptotic protein) (Protein S1R) (Transmembrane BAX inhibitor motif-containing protein 4) (Z-protein),i38-58o71-89i98-118o123-143i152-172o180-196i211-232o,238
Q9HC97,G-protein coupled receptor 35 (Kynurenic acid receptor) (KYNA receptor),o21-46i57-77o88-112i133-154o170-192i218-239o257-279i,309
Q9HCN3,Post-GPI attachment to proteins factor 6 (EC 3.1.1.4) (GPI processing phospholipase A2) (GPI-PLA2) (Protein M83) (Transmembrane protein 6) (Transmembrane protein 8) (Transmembrane protein 8A),o546-566i569-589o606-627i628-648o658-675i691-711o720-737i,771
Q9HCU4,Cadherin EGF LAG seven-pass G-type receptor 2 (Cadherin family member 10) (Epidermal growth factor-like protein 2) (EGF-like protein 2) (Flamingo homolog 3) (Multiple epidermal growth factor-like domains protein 3) (Multiple EGF-like domains protein 3),o2381-2401i2410-2430o2439-2459i2481-2501o2519-2539i2564-2581o2589-2612i,2923
Q9NPB9,Atypical chemokine receptor 4 (C-C chemokine receptor type 11) (C-C CKR-11) (CC-CKR-11) (CCR-11) (CC chemokine receptor-like 1) (CCRL1) (CCX CKR),o42-67i78-99o114-135i156-176o198-222i241-261o283-306i,350
Q9NPC1,Leukotriene B4 receptor 2 (LTB4-R 2) (LTB4-R2) (LTB4 receptor JULF2) (Leukotriene B4 receptor BLT2) (Seven transmembrane receptor BLTR2),o23-43i59-80o96-117i143-159o179-203i225-249o272-292i,358
Q9NPG1,Frizzled-3 (Fz-3) (hFz3),o204-226i238-258o288-309i329-349o373-395i421-441o477-498i,666
Q9NPR9,Protein GPR108 (Lung seven transmembrane receptor 2),o258-282i292-312o336-356i367-384o401-421i447-465o476-496i,543
Q9NQ84,G-protein coupled receptor family C group 5 member C (Retinoic acid-induced gene 3 protein) (RAIG-3),o51-71i86-106o121-141i156-176o209-229i242-262o280-300i,441
Q9NQS5,G-protein coupled receptor 84 (Inflammation-related G-protein coupled receptor EX33),o22-44i57-78o95-116i137-159o180-200i320-340o350-373i,396
Q9NRD8,Dual oxidase 2 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 2) (Long NOX 2) (NADH/NADPH thyroid oxidase p138-tox) (NADPH oxidase/peroxidase DUOX2) (NADPH thyroid oxidase 2) (Thyroid oxidase 2) (p138 thyroid oxidase),o598-619i1041-1063o1078-1102i1125-1149o1182-1207i1220-1238o1246-1259i,1548
Q9NRD9,Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 1) (Long NOX 1) (NADPH thyroid oxidase 1) (Thyroid oxidase 1),o592-616i1044-1066o1081-1105i1128-1152o1185-1210i1223-1241o1249-1262i,1551
Q9NS75,Cysteinyl leukotriene receptor 2 (CysLTR2) (G-protein coupled receptor GPCR21) (hGPCR21) (G-protein coupled receptor HG57) (HPN321),o43-63i73-93o124-144i154-174o205-225i246-266o287-307i,346
Q9NUN7,Alkaline ceramidase 3 (AlkCDase 3) (Alkaline CDase 3) (EC 3.5.1.-) (EC 3.5.1.23) (Alkaline dihydroceramidase SB89) (Alkaline phytoceramidase) (aPHC),o31-52i62-82o93-113i119-137o143-164i173-194o216-236i,267
Q9NVV0,Trimeric intracellular cation channel type B (TRIC-B) (TRICB) (Transmembrane protein 38B),o15-33i48-68o81-95i112-121o141-161i182-195o208-228i,291
Q9NX52,"Rhomboid-related protein 2 (RRP2) (EC 3.4.21.105) (Rhomboid-like protein 2) [Cleaved into: Rhomboid-related protein 2, N-terminal fragment (NTF); Rhomboid-related protein 2, C-terminal fragment (CTF)]",i71-91o133-153i157-177o183-203i211-236o245-265i278-299o,303
Q9NXB9,Elongation of very long chain fatty acids protein 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL2) (ELOVL fatty acid elongase 2) (ELOVL FA elongase 2) (Very long chain 3-ketoacyl-CoA synthase 2) (Very long chain 3-oxoacyl-CoA synthase 2),o32-52i66-88o115-135i144-161o171-191i204-225o234-254i,296
Q9NYM4,G-protein coupled receptor 83 (G-protein coupled receptor 72),o72-92i108-130o146-167i186-206o238-260i293-313o326-348i,423
Q9NYP7,Elongation of very long chain fatty acids protein 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Fatty acid elongase 1) (hELO1) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5),o26-49i63-87o109-129i141-158o167-187i202-222o231-251i,299
Q9NYQ6,Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2),o2473-2493i2502-2522o2531-2551i2573-2592o2611-2632i2653-2673o2682-2704i,3014
Q9NYQ7,Cadherin EGF LAG seven-pass G-type receptor 3 (Cadherin family member 11) (Epidermal growth factor-like protein 1) (EGF-like protein 1) (Flamingo homolog 1) (hFmi1) (Multiple epidermal growth factor-like domains protein 2) (Multiple EGF-like domains protein 2),o2545-2562i2573-2593o2602-2622i2644-2663o2682-2703i2723-2743o2751-2774i,3312
Q9NYV7,Taste receptor type 2 member 16 (T2R16),o9-33i47-69o80-105i125-147o176-201i229-249o257-279i,291
Q9NYW0,Taste receptor type 2 member 10 (T2R10) (Taste receptor family B member 2) (TRB2),o8-30i46-69o80-108i128-148o176-198i228-250o257-280i,307
Q9NYW4,Taste receptor type 2 member 5 (T2R5),o7-32i46-68o77-105i125-146o168-193i223-243o253-275i,299
Q9NYW5,Taste receptor type 2 member 4 (T2R4),o4-32i47-67o83-105i132-149o178-200i231-251o264-282i,299
Q9NZD1,G-protein coupled receptor family C group 5 member D,o24-46i60-82o94-114i129-149o170-188i205-225o242-262i,345
Q9NZH0,G-protein coupled receptor family C group 5 member B (A-69G12.1) (Retinoic acid-induced gene 2 protein) (RAIG-2),o57-77i93-113o127-145i162-182o200-220i233-253o272-292i,403
Q9P296,C5a anaphylatoxin chemotactic receptor 2 (Complement component 5a receptor 2) (G-protein coupled receptor 77),o37-59i72-92o110-130i153-171o199-224i235-258o274-294i,337
Q9UBS5,Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1),o589-614i628-649o661-686i710-730o766-789i804-826o832-854i,961
Q9UBY5,Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7),o31-53i68-88o107-125i145-165o187-207i241-261o277-295i,353
Q9UBY8,Protein CLN8,o27-42i71-86o104-123i133-151o155-175i192-212o230-250i,286
Q9UHM6,Melanopsin (Opsin-4),o73-93i107-129o145-166i187-209o237-259i297-321o331-353i,478
Q9UHX3,Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312),o541-561i570-590o602-622i646-664o685-705i730-750o758-781i,823
Q9UKP6,Urotensin-2 receptor (UR-2-R) (G-protein coupled receptor 14) (Urotensin II receptor) (UR-II-R),o52-75i86-109o125-146i168-188o210-232i259-279o295-318i,389
Q9ULV1,Frizzled-4 (Fz-4) (hFz4) (FzE4) (CD antigen CD344),o221-242i252-275o300-326i344-365o386-410i438-457o475-496i,537
Q9ULW2,Frizzled-10 (Fz-10) (hFz10) (FzE7) (CD antigen CD350),o229-250i260-283o307-333i351-372o393-417i445-464o503-523i,581
Q9UNW8,Probable G-protein coupled receptor 132 (G2 accumulation protein),o43-68i77-100o113-138i158-178o196-220i243-268o289-311i,380
Q9Y271,Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor) (G-protein coupled receptor HG55) (HMTMF81),o25-49i60-81o94-119i140-160o186-211i234-255o277-298i,337
Q9Y2T6,G-protein coupled receptor 55,o24-46i61-82o96-117i139-159o179-202i228-248o268-291i,319
Q9Y5N1,Histamine H3 receptor (H3R) (HH3R) (G-protein coupled receptor 97),o35-60i71-92o109-130i152-174o197-222i360-380o396-415i,445
Q9Y5X5,Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (G-protein coupled receptor HLWAR77) (Neuropeptide G-protein coupled receptor),o147-172i184-206o222-243i262-282o320-342i377-397o416-437i,522
Q9Y5Y4,Prostaglandin D2 receptor 2 (Chemoattractant receptor-homologous molecule expressed on Th2 cells) (G-protein coupled receptor 44) (CD antigen CD294),o34-56i68-89o107-127i147-168o211-231i248-269o289-308i,395
Q9Y653,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Protein TM7XN1) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)],o405-427i445-462o477-495i519-539o568-593i609-628o637-657i,693
A5D6W6,Fat storage-inducing transmembrane protein 1 (Fat-inducing protein 1),o39i55-72o95-115i125-145o180-198i218-243o246-267i,292
A6ND48,Olfactory receptor 14I1 (Olfactory receptor 5BU1),o23-47i60-80o96-116i142-162o190-217i241-258o270-287i,311
A6NGC4,TLC domain-containing protein 2,o5-23i39-60o77-97i106-124o129-147i167-189o202-219i,264
A6NGY5,Olfactory receptor 51F1,o34-59i71-95o107-129i153-172o206-231i250-271o283-303i,319
A6NH00,Olfactory receptor 2T8,o24-47i57-77o96-118i142-164o195-219i239-257o271-290i,312
A6NND4,Olfactory receptor 2AT4 (Olfactory receptor OR11-265),o30-55i64-84o103-123i148-168o202-224i246-266o277-297i,320
O00398,Putative P2Y purinoceptor 10 (P2Y10) (P2Y-like receptor),o36-60i70-92o104-129i150-170o195-219i244-266o282-309i,339
O14626,G-protein coupled receptor 171 (G-protein coupled receptor H963),o20-40i51-72o89-110i133-154o178-200i222-246o266-288i,319
O14718,Visual pigment-like receptor peropsin,o27-51i62-83o100-121i142-163o187-210i241-261o275-297i,337
O15218,G-protein coupled receptor 182,o54-77i90-110o124-149i169-190o215-240i259-281o297-323i,404
O60412,Olfactory receptor 7C2 (Olfactory receptor 19-18) (OR19-18) (Olfactory receptor 7C3) (Olfactory receptor OR19-22),o25-49i59-74o98-120i144-164o197-219i244-259o272-289i,319
O75352,Mannose-P-dolichol utilization defect 1 protein (Suppressor of Lec15 and Lec35 glycosylation mutation homolog) (SL15),o41-63i76-95o103-121i130-147o153-173i185-205o213-233i,247
O75388,Probable G-protein coupled receptor 32,o45-70i78-100o112-137i158-179o214-238i257-278o300-320i,356
O76001,Olfactory receptor 2J3 (Hs6M1-3) (Olfactory receptor OR6-16) (OR6-6) (Olfactory receptor 6-6),o28-51i62-82o101-123i148-169o200-225i244-263o276-293i,311
O76002,Olfactory receptor 2J2 (Hs6M1-6) (Olfactory receptor 6-8) (OR6-8) (Olfactory receptor OR6-19),o26-49i60-80o99-121i145-165o198-221i242-261o274-291i,312
O76099,Olfactory receptor 7C1 (Olfactory receptor 7C4) (Olfactory receptor OR19-16) (Olfactory receptor TPCR86),o26-49i59-74o98-120i143-164o197-219i245-260o272-292i,320
O95007,Olfactory receptor 6B1 (Olfactory receptor 7-3) (OR7-3) (Olfactory receptor OR7-9),o25-49i59-79o98-120i144-164o197-223i239-257o271-290i,311
O95222,Olfactory receptor 6A2 (Olfactory receptor 11-55) (OR11-55) (Olfactory receptor 6A1) (Olfactory receptor OR11-83) (hP2 olfactory receptor),o26-50i63-83o103-125i150-171o202-228i246-263o278-297i,327
O95371,Olfactory receptor 2C1 (OLFmf3) (Olfactory receptor 2C2) (Olfactory receptor OR16-1) (Olfactory receptor OR16-2),o25-48i59-79o100-120i143-166o197-222i241-256o273-292i,312
O95665,Neurotensin receptor type 2 (NT-R-2) (NTR2) (Levocabastine-sensitive neurotensin receptor),o33-56i72-92o110-131i154-174o205-228i298-318o338-358i,410
O95800,Probable G-protein coupled receptor 75,o42-65i81-106o121-141i162-181o202-224i323-342o357-377i,540
O95838,Glucagon-like peptide 2 receptor (GLP-2 receptor) (GLP-2-R) (GLP-2R),o174-198i211-235o262-285i300-321o340-362i387-405o418-438i,553
O95918,Olfactory receptor 2H2 (Hs6M1-12) (Olfactory receptor 2H3) (Olfactory receptor-like protein FAT11),o25-46i57-77o96-118i143-164o195-219i243-258o271-288i,312
P0C617,Olfactory receptor 5AL1 (Olfactory receptor OR11-184),o41-65i75-95o114-136i160-180o213-238i257-274o289-306i,329
P0C645,Olfactory receptor 4E1 (Olfactory receptor OR14-43),o29-54i63-83o102-124i146-168o198-227i244-261o274-293i,315
P0DN77,Medium-wave-sensitive opsin 2 (Green cone photoreceptor pigment) (Green-sensitive opsin) (GOP) (Opsin 1 cone pigments medium-wave-sensitive 2),o55-79i90-112o127-149i168-191o220-240i269-289o305-325i,364
P0DN78,Medium-wave-sensitive opsin 3 (Green cone photoreceptor pigment) (Green-sensitive opsin) (GOP) (opsin 1 cone pigments medium-wave-sensitive 3),o55-79i90-112o127-149i168-191o220-240i269-289o305-325i,364
P25089,N-formyl peptide receptor 3 (FMLP-related receptor II) (FMLP-R-II) (Formyl peptide receptor-like 2),o28-50i62-83o101-121i141-162o206-226i243-266o287-306i,353
P30953,Olfactory receptor 1E1 (Olfactory receptor 13-66) (OR13-66) (Olfactory receptor 17-2/17-32) (OR17-2) (OR17-32) (Olfactory receptor 1E5) (Olfactory receptor 1E6) (Olfactory receptor 5-85) (OR5-85) (Olfactory receptor OR17-18) (Olfactory receptor-like protein HGMP07I),o29-49i59-79o98-120i143-164o197-219i241-260o272-290i,314
P30954,Olfactory receptor 10J1 (Olfactory receptor OR1-26) (Olfactory receptor-like protein HGMP07J),o36-60i70-93o109-131i155-177o207-232i251-270o282-302i,320
P33032,Melanocortin receptor 5 (MC5-R) (MC-2),o38-61i74-94o117-138i159-179o185-208i242-264o274-297i,325
P34995,Prostaglandin E2 receptor EP1 subtype (PGE receptor EP1 subtype) (PGE2 receptor EP1 subtype) (Prostanoid EP1 receptor),o38-58i75-96o112-133i156-177o201-226i299-319o333-354i,402
P43116,Prostaglandin E2 receptor EP2 subtype (PGE receptor EP2 subtype) (PGE2 receptor EP2 subtype) (Prostanoid EP2 receptor),o26-47i69-91o111-132i154-176o195-219i264-286o298-318i,358
P46094,Chemokine XC receptor 1 (G-protein coupled receptor 5) (Lymphotactin receptor) (XC chemokine receptor 1),o32-54i68-88o100-125i145-166o183-206i226-248o267-291i,333
P46095,G-protein coupled receptor 6 (Sphingosine 1-phosphate receptor GPR6),o75-97i109-131o142-164i185-205o227-246i281-301o309-329i,362
P47775,G-protein coupled receptor 12,o49-69i81-103o114-136i157-177o199-218i254-274o281-301i,334
P47883,Putative olfactory receptor 3A4 (Olfactory receptor 17-24) (OR17-24) (Olfactory receptor 3A5),o28-52i62-85o101-123i146-167o200-222i245-260o276-294i,348
P47887,Olfactory receptor 1E2 (Olfactory receptor 17-93/17-135/17-136) (OR17-135) (OR17-136) (OR17-93) (Olfactory receptor 1E4),o26-49i59-79o100-120i151-173o206-228i250-269o281-301i,323
P47888,Olfactory receptor 3A3 (Olfactory receptor 17-201) (OR17-201) (Olfactory receptor 3A6) (Olfactory receptor 3A7) (Olfactory receptor 3A8) (Olfactory receptor OR17-22),o35-58i68-92o107-129i152-173o206-228i250-269o282-301i,321
P47893,Olfactory receptor 3A2 (Olfactory receptor 17-228) (OR17-228) (Olfactory receptor OR17-14),o35-58i68-92o107-129i152-173o206-228i251-269o282-299i,321
P49190,Parathyroid hormone 2 receptor (PTH2 receptor),o144-168i177-198o238-262i275-297o316-337i365-381o393-416i,550
P58173,Olfactory receptor 2B6 (Hs6M1-32) (Olfactory receptor 2B1) (Olfactory receptor 2B5) (Olfactory receptor 5-40) (OR5-40) (Olfactory receptor 6-31) (OR6-31) (Olfactory receptor OR6-4),o26-48i59-79o98-120i144-164o197-222i241-260o273-292i,313
P58182,Olfactory receptor 12D2 (Hs6M1-20) (Olfactory receptor OR6-28),o23-46i57-80o96-118i142-162o195-220i241-259o271-289i,307
P58872,Rhomboid-related protein 3 (EC 3.4.21.105) (Ventrhoid transmembrane protein),i164-179o218-244i247-267o279-294i305-325o338-358i371-391o,404
P59533,Taste receptor type 2 member 38 (T2R38) (PTC bitter taste receptor) (Taste receptor type 2 member 61) (T2R61),o18-42i56-76o94-119i140-163o195-218i249-272o277-300i,333
P59534,Taste receptor type 2 member 39 (T2R39) (Taste receptor type 2 member 57) (T2R57),o36-61i75-96o109-137i160-180o207-232i263-283o291-314i,338
P59535,Taste receptor type 2 member 40 (T2R40) (G-protein coupled receptor 60) (Taste receptor type 2 member 58) (T2R58),o22-42i59-80o93-121i144-164o192-218i248-268o277-299i,323
P59537,Taste receptor type 2 member 43 (T2R43) (Taste receptor type 2 member 52) (T2R52),o8-33i47-67o83-108i129-149o177-199i231-251o260-282i,309
P59540,Taste receptor type 2 member 46 (T2R46) (Taste receptor type 2 member 54) (T2R54),o8-30i47-68o83-108i129-149o177-199i231-251o260-282i,309
P59541,Taste receptor type 2 member 30 (T2R30) (Taste receptor type 2 member 47) (T2R47),o8-30i47-68o83-108i129-149o177-199i231-251o260-282i,319
P59543,Taste receptor type 2 member 20 (Taste receptor type 2 member 49) (T2R49) (Taste receptor type 2 member 56) (T2R56),o7-33i46-66o80-105i128-146o177-200i231-251o259-281i,309
P59544,Taste receptor type 2 member 50 (T2R50) (Taste receptor type 2 member 51) (T2R51),o8-33i47-68o83-108i129-149o174-199i231-251o260-281i,299
P60893,Probable G-protein coupled receptor 85 (Super conserved receptor expressed in brain 2),o25-45i57-78o96-117i138-158o184-203i286-306o321-341i,370
Q13606,Olfactory receptor 5I1 (Olfactory receptor OR11-159) (Olfactory receptor-like protein OLF1),o27-51i61-81o100-122i146-168o199-221i247-261o275-292i,314
Q13607,Olfactory receptor 2F1 (Olfactory receptor 2F3) (Olfactory receptor 2F4) (Olfactory receptor 2F5) (Olfactory receptor-like protein OLF3),o25-49i59-82o98-120i144-164o197-222i241-260o273-290i,317
Q14439,G-protein coupled receptor 176 (HB-954),o43-65i79-100o119-140i162-182o204-226i268-287o303-323i,515
Q15391,P2Y purinoceptor 14 (P2Y14) (G-protein coupled receptor 105) (UDP-glucose receptor),o24-46i58-79o96-117i139-160o186-207i235-256o277-298i,338
Q15612,Olfactory receptor 1Q1 (OST226) (Olfactory receptor 1Q2) (Olfactory receptor 1Q3) (Olfactory receptor 9-A) (OR9-A) (Olfactory receptor OR9-25) (Olfactory receptor TPCR106),o25-49i59-79o98-120i144-164o197-222i242-259o273-290i,314
Q15617,Olfactory receptor 8G1 (Olfactory receptor OR11-281) (Olfactory receptor TPCR25),o25-49i59-79o98-120i144-164o197-223i245-258o273-290i,311
Q15620,Olfactory receptor 8B8 (Olfactory receptor TPCR85) (Olfactory-like receptor JCG8),o25-49i59-79o98-120i142-166o197-222i245-256o273-290i,311
Q15760,Probable G-protein coupled receptor 19 (GPR-NGA),o68-88i102-122o140-161i180-201o224-244i277-297o310-330i,415
Q16538,Probable G-protein coupled receptor 162 (Gene-rich cluster gene A protein),o18-38i50-72o92-113i135-156o179-200i272-292o305-325i,588
Q2T9K0,Transmembrane protein 44,o28-50i62-82o87-108i134-155o180-196i261-281o293-313i,475
Q49SQ1,Probable G-protein coupled receptor 33,o31-53i65-86o104-124i144-165o203-230i246-269o282-302i,333
Q5FWE3,Proline-rich transmembrane protein 3,o473-493i502-523o539-559i572-587o599-619i640-660o680-700i,981
Q5T848,Metabotropic glycine receptor (mGlyR) (G-protein coupled receptor 158),o418-439i451-474o482-511i526-546o578-598i612-634o642-664i,1215
Q66K66,Transmembrane protein 198,o36-56i62-81o93-113i116-136o146-165i171-192o218-236i,360
Q6DWJ6,Probable G-protein coupled receptor 139 (G(q)-coupled orphan receptor GPRg1) (G-protein-coupled receptor PGR3),o31-52i65-86o103-124i148-165o182-205i229-249o265-285i,353
Q6IFH4,Olfactory receptor 6B2 (Olfactory receptor OR2-1),o26-49i59-79o98-120i144-164o197-219i241-259o273-290i,312
Q6Q0C1,Solute carrier family 25 member 47 (Hepatocellular carcinoma down-regulated mitochondrial carrier protein),o3-17i58-73o98-112i183-203o217-238i273-284o285-300i,308
Q71RH2,Ceramide synthase (EC 2.3.1.-) (Protein FAM57B) (TLC domain-containing protein 3B),o18i39-59o76-95i130-150o155-175i191-213o236-252i,274
Q7RTR8,Taste receptor type 2 member 42 (T2R42) (Taste receptor type 2 member 55) (T2R55),o8-30i47-68o84-109i130-152o180-205i236-260o265-287i,314
Q7Z3T1,Olfactory receptor 2W3 (Olfactory receptor 2W8) (Olfactory receptor OR1-49),o26-48i59-79o98-120i143-163o197-222i241-260o273-290i,314
